Years,State and territory,Leave entitlements,Industry,Median_Weekly_Earnings,Median Weekly Earnings Divide 10
2019,   Australian Capital Territory,Total employees,Arts and recreation services,0,0
2019,   Australian Capital Territory,Total employees,Other services,1100,110
2020,   New South Wales,Total employees,"Agriculture, forestry and fishing",1000,100
2020,   New South Wales,Total employees,Mining,2221,222.09
2020,   New South Wales,Total employees,Manufacturing,1300,130
2020,   New South Wales,Total employees,"Electricity, gas, water and waste services",1825,182.45
2020,   New South Wales,Total employees,Construction,1315,131.5
2020,   New South Wales,Total employees,Wholesale trade,1286,128.61
2020,   New South Wales,Total employees,Retail trade,1075,107.5
2020,   New South Wales,Total employees,Accommodation and food services,1051,105.05
2020,   New South Wales,Total employees,"Transport, postal and warehousing",1385,138.46
2020,   New South Wales,Total employees,Information Media and telecommunications,1730,173
2020,   New South Wales,Total employees,Financial and insurance services,1811,181.06
2020,   New South Wales,Total employees,"Rental, hiring and real estate services",1176,117.58
2020,   New South Wales,Total employees,"Professional, scientific and technical services",1726,172.6
2020,   New South Wales,Total employees,Administrative and support services,1204,120.44
2020,   New South Wales,Total employees,Public administration and safety,1599,159.93
2020,   New South Wales,Total employees,Education and training,1700,170
2020,   New South Wales,Total employees,Health care and social assistance,1300,130
2020,   New South Wales,Total employees,Arts and recreation services,1500,150
2020,   New South Wales,Total employees,Other services,1302,130.24
2020,   Victoria,Total employees,"Agriculture, forestry and fishing",1055,105.52
2020,   Victoria,Total employees,Mining,0,0
2020,   Victoria,Total employees,Manufacturing,1349,134.93
2020,   Victoria,Total employees,"Electricity, gas, water and waste services",1825,182.49
2020,   Victoria,Total employees,Construction,1400,140
2020,   Victoria,Total employees,Wholesale trade,1300,129.99
2020,   Victoria,Total employees,Retail trade,1125,112.5
2020,   Victoria,Total employees,Accommodation and food services,996,99.61
2020,   Victoria,Total employees,"Transport, postal and warehousing",1438,143.83
2020,   Victoria,Total employees,Information Media and telecommunications,1715,171.46
2020,   Victoria,Total employees,Financial and insurance services,1620,161.99
2020,   Victoria,Total employees,"Rental, hiring and real estate services",1393,139.32
2020,   Victoria,Total employees,"Professional, scientific and technical services",1597,159.72
2020,   Victoria,Total employees,Administrative and support services,1201,120.1
2020,   Victoria,Total employees,Public administration and safety,1698,169.83
2020,   Victoria,Total employees,Education and training,1600,160
2020,   Victoria,Total employees,Health care and social assistance,1400,140
2020,   Victoria,Total employees,Arts and recreation services,1362,136.19
2020,   Victoria,Total employees,Other services,1250,125
2020,   Queensland,Total employees,"Agriculture, forestry and fishing",966,96.6
2020,   Queensland,Total employees,Mining,2301,230.1
2020,   Queensland,Total employees,Manufacturing,1211,121.05
2020,   Queensland,Total employees,"Electricity, gas, water and waste services",1618,161.78
2020,   Queensland,Total employees,Construction,1423,142.34
2020,   Queensland,Total employees,Wholesale trade,1260,125.99
2020,   Queensland,Total employees,Retail trade,1057,105.69
2020,   Queensland,Total employees,Accommodation and food services,960,96.04
2020,   Queensland,Total employees,"Transport, postal and warehousing",1359,135.9
2020,   Queensland,Total employees,Information Media and telecommunications,1613,161.3
2020,   Queensland,Total employees,Financial and insurance services,1536,153.61
2020,   Queensland,Total employees,"Rental, hiring and real estate services",999,99.94
2020,   Queensland,Total employees,"Professional, scientific and technical services",1442,144.16
2020,   Queensland,Total employees,Administrative and support services,1148,114.77
2020,   Queensland,Total employees,Public administration and safety,1500,150
2020,   Queensland,Total employees,Education and training,1538,153.8
2020,   Queensland,Total employees,Health care and social assistance,1360,136.03
2020,   Queensland,Total employees,Arts and recreation services,1500,150
2020,   Queensland,Total employees,Other services,1117,111.71
2020,   South Australia,Total employees,"Agriculture, forestry and fishing",985,98.45
2020,   South Australia,Total employees,Mining,2087,208.68
2020,   South Australia,Total employees,Manufacturing,1200,120
2020,   South Australia,Total employees,"Electricity, gas, water and waste services",1405,140.5
2020,   South Australia,Total employees,Construction,1193,119.27
2020,   South Australia,Total employees,Wholesale trade,1250,125.04
2020,   South Australia,Total employees,Retail trade,1074,107.41
2020,   South Australia,Total employees,Accommodation and food services,1044,104.37
2020,   South Australia,Total employees,"Transport, postal and warehousing",1234,123.38
2020,   South Australia,Total employees,Information Media and telecommunications,1468,146.75
2020,   South Australia,Total employees,Financial and insurance services,1514,151.44
2020,   South Australia,Total employees,"Rental, hiring and real estate services",1113,111.34
2020,   South Australia,Total employees,"Professional, scientific and technical services",1463,146.34
2020,   South Australia,Total employees,Administrative and support services,1025,102.52
2020,   South Australia,Total employees,Public administration and safety,1718,171.77
2020,   South Australia,Total employees,Education and training,1576,157.59
2020,   South Australia,Total employees,Health care and social assistance,1320,132.03
2020,   South Australia,Total employees,Arts and recreation services,1101,110.11
2020,   South Australia,Total employees,Other services,1113,111.25
2020,   Western Australia,Total employees,"Agriculture, forestry and fishing",1221,122.1
2020,   Western Australia,Total employees,Mining,2511,251.07
2020,   Western Australia,Total employees,Manufacturing,1445,144.48
2020,   Western Australia,Total employees,"Electricity, gas, water and waste services",2104,210.39
2020,   Western Australia,Total employees,Construction,1529,152.85
2020,   Western Australia,Total employees,Wholesale trade,1411,141.05
2020,   Western Australia,Total employees,Retail trade,1266,126.55
2020,   Western Australia,Total employees,Accommodation and food services,1032,103.21
2020,   Western Australia,Total employees,"Transport, postal and warehousing",1448,144.8
2020,   Western Australia,Total employees,Information Media and telecommunications,1535,153.52
2020,   Western Australia,Total employees,Financial and insurance services,1752,175.17
2020,   Western Australia,Total employees,"Rental, hiring and real estate services",1263,126.32
2020,   Western Australia,Total employees,"Professional, scientific and technical services",1787,178.72
2020,   Western Australia,Total employees,Administrative and support services,1238,123.77
2020,   Western Australia,Total employees,Public administration and safety,1750,175
2020,   Western Australia,Total employees,Education and training,1728,172.84
2020,   Western Australia,Total employees,Health care and social assistance,1513,151.26
2020,   Western Australia,Total employees,Arts and recreation services,1468,146.8
2020,   Western Australia,Total employees,Other services,1366,136.57
2020,   Tasmania,Total employees,"Agriculture, forestry and fishing",1135,113.47
2020,   Tasmania,Total employees,Mining,1931,193.1
2020,   Tasmania,Total employees,Manufacturing,1286,128.59
2020,   Tasmania,Total employees,"Electricity, gas, water and waste services",1482,148.24
2020,   Tasmania,Total employees,Construction,1154,115.44
2020,   Tasmania,Total employees,Wholesale trade,1176,117.64
2020,   Tasmania,Total employees,Retail trade,1018,101.82
2020,   Tasmania,Total employees,Accommodation and food services,1150,115
2020,   Tasmania,Total employees,"Transport, postal and warehousing",1212,121.21
2020,   Tasmania,Total employees,Information Media and telecommunications,1611,161.14
2020,   Tasmania,Total employees,Financial and insurance services,1392,139.17
2020,   Tasmania,Total employees,"Rental, hiring and real estate services",902,90.15
2020,   Tasmania,Total employees,"Professional, scientific and technical services",1340,133.97
2020,   Tasmania,Total employees,Administrative and support services,996,99.55
2020,   Tasmania,Total employees,Public administration and safety,1572,157.2
2020,   Tasmania,Total employees,Education and training,1662,166.2
2020,   Tasmania,Total employees,Health care and social assistance,1325,132.48
2020,   Tasmania,Total employees,Arts and recreation services,1110,110.98
2020,   Tasmania,Total employees,Other services,947,94.74
2020,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2020,   Northern Territory,Total employees,Mining,1841,184.1
2020,   Northern Territory,Total employees,Manufacturing,1300,130
2020,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1763,176.29
2020,   Northern Territory,Total employees,Construction,1605,160.45
2020,   Northern Territory,Total employees,Wholesale trade,1010,101
2020,   Northern Territory,Total employees,Retail trade,1000,100
2020,   Northern Territory,Total employees,Accommodation and food services,1189,118.89
2020,   Northern Territory,Total employees,"Transport, postal and warehousing",1500,150
2020,   Northern Territory,Total employees,Information Media and telecommunications,0,0
2020,   Northern Territory,Total employees,Financial and insurance services,1343,134.3
2020,   Northern Territory,Total employees,"Rental, hiring and real estate services",1377,137.68
2020,   Northern Territory,Total employees,"Professional, scientific and technical services",1658,165.75
2020,   Northern Territory,Total employees,Administrative and support services,1220,121.97
2020,   Northern Territory,Total employees,Public administration and safety,1550,155
2020,   Northern Territory,Total employees,Education and training,1638,163.77
2020,   Northern Territory,Total employees,Health care and social assistance,1500,150
2020,   Northern Territory,Total employees,Arts and recreation services,1147,114.73
2020,   Northern Territory,Total employees,Other services,1295,129.48
2020,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2020,   Australian Capital Territory,Total employees,Mining,0,0
2020,   Australian Capital Territory,Total employees,Manufacturing,0,0
2020,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",0,0
2020,   Australian Capital Territory,Total employees,Construction,1377,137.71
2020,   Australian Capital Territory,Total employees,Wholesale trade,0,0
2020,   Australian Capital Territory,Total employees,Retail trade,1105,110.47
2020,   Australian Capital Territory,Total employees,Accommodation and food services,1044,104.39
2020,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1488,148.82
2020,   Australian Capital Territory,Total employees,Information Media and telecommunications,2062,206.22
2020,   Australian Capital Territory,Total employees,Financial and insurance services,1686,168.59
2020,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2020,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1618,161.83
2020,   Australian Capital Territory,Total employees,Administrative and support services,1024,102.39
2020,   Australian Capital Territory,Total employees,Public administration and safety,1898,189.78
2020,   Australian Capital Territory,Total employees,Education and training,1786,178.64
2020,   Australian Capital Territory,Total employees,Health care and social assistance,1500,149.96
2020,   Australian Capital Territory,Total employees,Arts and recreation services,1242,124.19
2020,   Australian Capital Territory,Total employees,Other services,1276,127.56
2021,   New South Wales,Total employees,"Agriculture, forestry and fishing",1213,121.25
2021,   New South Wales,Total employees,Mining,2654,265.37
2021,   New South Wales,Total employees,Manufacturing,1480,148.04
2021,   New South Wales,Total employees,"Electricity, gas, water and waste services",1739,173.86
2021,   New South Wales,Total employees,Construction,1351,135.14
2021,   New South Wales,Total employees,Wholesale trade,1380,138
2021,   New South Wales,Total employees,Retail trade,1209,120.92
2021,   New South Wales,Total employees,Accommodation and food services,1088,108.8
2021,   New South Wales,Total employees,"Transport, postal and warehousing",1400,139.98
2021,   New South Wales,Total employees,Information Media and telecommunications,1751,175.07
2021,   New South Wales,Total employees,Financial and insurance services,1854,185.38
2021,   New South Wales,Total employees,"Rental, hiring and real estate services",1919,191.85
2021,   New South Wales,Total employees,"Professional, scientific and technical services",1682,168.24
2021,   New South Wales,Total employees,Administrative and support services,1358,135.83
2021,   New South Wales,Total employees,Public administration and safety,1804,180.38
2021,   New South Wales,Total employees,Education and training,1750,175
2021,   New South Wales,Total employees,Health care and social assistance,1350,135.02
2021,   New South Wales,Total employees,Arts and recreation services,1399,139.93
2021,   New South Wales,Total employees,Other services,1111,111.07
2021,   Victoria,Total employees,"Agriculture, forestry and fishing",1307,130.74
2021,   Victoria,Total employees,Mining,2483,248.3
2021,   Victoria,Total employees,Manufacturing,1466,146.63
2021,   Victoria,Total employees,"Electricity, gas, water and waste services",1760,175.99
2021,   Victoria,Total employees,Construction,1400,140
2021,   Victoria,Total employees,Wholesale trade,1376,137.6
2021,   Victoria,Total employees,Retail trade,1200,120
2021,   Victoria,Total employees,Accommodation and food services,1026,102.58
2021,   Victoria,Total employees,"Transport, postal and warehousing",1299,129.93
2021,   Victoria,Total employees,Information Media and telecommunications,1730,173.01
2021,   Victoria,Total employees,Financial and insurance services,1922,192.24
2021,   Victoria,Total employees,"Rental, hiring and real estate services",1397,139.66
2021,   Victoria,Total employees,"Professional, scientific and technical services",1762,176.23
2021,   Victoria,Total employees,Administrative and support services,1250,125
2021,   Victoria,Total employees,Public administration and safety,1650,164.97
2021,   Victoria,Total employees,Education and training,1538,153.79
2021,   Victoria,Total employees,Health care and social assistance,1400,140
2021,   Victoria,Total employees,Arts and recreation services,1403,140.28
2021,   Victoria,Total employees,Other services,1203,120.34
2021,   Queensland,Total employees,"Agriculture, forestry and fishing",1307,130.74
2021,   Queensland,Total employees,Mining,2301,230.1
2021,   Queensland,Total employees,Manufacturing,1219,121.88
2021,   Queensland,Total employees,"Electricity, gas, water and waste services",1829,182.91
2021,   Queensland,Total employees,Construction,1314,131.44
2021,   Queensland,Total employees,Wholesale trade,1465,146.45
2021,   Queensland,Total employees,Retail trade,1044,104.35
2021,   Queensland,Total employees,Accommodation and food services,1056,105.61
2021,   Queensland,Total employees,"Transport, postal and warehousing",1438,143.81
2021,   Queensland,Total employees,Information Media and telecommunications,1299,129.93
2021,   Queensland,Total employees,Financial and insurance services,1640,163.97
2021,   Queensland,Total employees,"Rental, hiring and real estate services",1330,133.01
2021,   Queensland,Total employees,"Professional, scientific and technical services",1654,165.44
2021,   Queensland,Total employees,Administrative and support services,1267,126.67
2021,   Queensland,Total employees,Public administration and safety,1650,165
2021,   Queensland,Total employees,Education and training,1648,164.77
2021,   Queensland,Total employees,Health care and social assistance,1385,138.48
2021,   Queensland,Total employees,Arts and recreation services,1073,107.33
2021,   Queensland,Total employees,Other services,1200,120
2021,   South Australia,Total employees,"Agriculture, forestry and fishing",1237,123.66
2021,   South Australia,Total employees,Mining,2033,203.29
2021,   South Australia,Total employees,Manufacturing,1250,125
2021,   South Australia,Total employees,"Electricity, gas, water and waste services",1718,171.77
2021,   South Australia,Total employees,Construction,1295,129.49
2021,   South Australia,Total employees,Wholesale trade,1270,127.01
2021,   South Australia,Total employees,Retail trade,1058,105.83
2021,   South Australia,Total employees,Accommodation and food services,1086,108.55
2021,   South Australia,Total employees,"Transport, postal and warehousing",1342,134.18
2021,   South Australia,Total employees,Information Media and telecommunications,1284,128.39
2021,   South Australia,Total employees,Financial and insurance services,1600,160
2021,   South Australia,Total employees,"Rental, hiring and real estate services",1275,127.53
2021,   South Australia,Total employees,"Professional, scientific and technical services",1749,174.92
2021,   South Australia,Total employees,Administrative and support services,1195,119.51
2021,   South Australia,Total employees,Public administration and safety,1595,159.5
2021,   South Australia,Total employees,Education and training,1700,170
2021,   South Australia,Total employees,Health care and social assistance,1310,130.96
2021,   South Australia,Total employees,Arts and recreation services,1112,111.2
2021,   South Australia,Total employees,Other services,1252,125.23
2021,   Western Australia,Total employees,"Agriculture, forestry and fishing",1400,140
2021,   Western Australia,Total employees,Mining,2500,250
2021,   Western Australia,Total employees,Manufacturing,1545,154.5
2021,   Western Australia,Total employees,"Electricity, gas, water and waste services",1835,183.52
2021,   Western Australia,Total employees,Construction,1558,155.83
2021,   Western Australia,Total employees,Wholesale trade,1442,144.2
2021,   Western Australia,Total employees,Retail trade,1261,126.14
2021,   Western Australia,Total employees,Accommodation and food services,1227,122.7
2021,   Western Australia,Total employees,"Transport, postal and warehousing",1500,150
2021,   Western Australia,Total employees,Information Media and telecommunications,1490,149.01
2021,   Western Australia,Total employees,Financial and insurance services,1622,162.22
2021,   Western Australia,Total employees,"Rental, hiring and real estate services",1560,156
2021,   Western Australia,Total employees,"Professional, scientific and technical services",1576,157.63
2021,   Western Australia,Total employees,Administrative and support services,1493,149.34
2021,   Western Australia,Total employees,Public administration and safety,1670,167.04
2021,   Western Australia,Total employees,Education and training,1554,155.4
2021,   Western Australia,Total employees,Health care and social assistance,1416,141.56
2021,   Western Australia,Total employees,Arts and recreation services,1288,128.83
2021,   Western Australia,Total employees,Other services,1290,129.03
2021,   Tasmania,Total employees,"Agriculture, forestry and fishing",1140,114.02
2021,   Tasmania,Total employees,Mining,1884,188.35
2021,   Tasmania,Total employees,Manufacturing,1165,116.53
2021,   Tasmania,Total employees,"Electricity, gas, water and waste services",1394,139.39
2021,   Tasmania,Total employees,Construction,1200,120
2021,   Tasmania,Total employees,Wholesale trade,1122,112.17
2021,   Tasmania,Total employees,Retail trade,1006,100.57
2021,   Tasmania,Total employees,Accommodation and food services,1056,105.56
2021,   Tasmania,Total employees,"Transport, postal and warehousing",1200,120
2021,   Tasmania,Total employees,Information Media and telecommunications,1179,117.91
2021,   Tasmania,Total employees,Financial and insurance services,1500,150
2021,   Tasmania,Total employees,"Rental, hiring and real estate services",1391,139.1
2021,   Tasmania,Total employees,"Professional, scientific and technical services",1507,150.67
2021,   Tasmania,Total employees,Administrative and support services,1213,121.28
2021,   Tasmania,Total employees,Public administration and safety,1634,163.35
2021,   Tasmania,Total employees,Education and training,1556,155.59
2021,   Tasmania,Total employees,Health care and social assistance,1333,133.28
2021,   Tasmania,Total employees,Arts and recreation services,1000,100
2021,   Tasmania,Total employees,Other services,1141,114.06
2021,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2021,   Northern Territory,Total employees,Mining,2145,214.5
2021,   Northern Territory,Total employees,Manufacturing,1297,129.66
2021,   Northern Territory,Total employees,"Electricity, gas, water and waste services",1886,188.61
2021,   Northern Territory,Total employees,Construction,1700,170
2021,   Northern Territory,Total employees,Wholesale trade,1242,124.22
2021,   Northern Territory,Total employees,Retail trade,1033,103.32
2021,   Northern Territory,Total employees,Accommodation and food services,1092,109.2
2021,   Northern Territory,Total employees,"Transport, postal and warehousing",1597,159.7
2021,   Northern Territory,Total employees,Information Media and telecommunications,1224,122.43
2021,   Northern Territory,Total employees,Financial and insurance services,1643,164.27
2021,   Northern Territory,Total employees,"Rental, hiring and real estate services",1390,139.03
2021,   Northern Territory,Total employees,"Professional, scientific and technical services",1750,175.01
2021,   Northern Territory,Total employees,Administrative and support services,1251,125.14
2021,   Northern Territory,Total employees,Public administration and safety,1756,175.61
2021,   Northern Territory,Total employees,Education and training,1500,150
2021,   Northern Territory,Total employees,Health care and social assistance,1729,172.91
2021,   Northern Territory,Total employees,Arts and recreation services,1181,118.13
2021,   Northern Territory,Total employees,Other services,1094,109.41
2021,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2021,   Australian Capital Territory,Total employees,Mining,0,0
2021,   Australian Capital Territory,Total employees,Manufacturing,1600,160.02
2021,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",0,0
2021,   Australian Capital Territory,Total employees,Construction,1566,156.58
2021,   Australian Capital Territory,Total employees,Wholesale trade,0,0
2021,   Australian Capital Territory,Total employees,Retail trade,950,95
2021,   Australian Capital Territory,Total employees,Accommodation and food services,1045,104.45
2021,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1488,148.77
2021,   Australian Capital Territory,Total employees,Information Media and telecommunications,2092,209.2
2021,   Australian Capital Territory,Total employees,Financial and insurance services,1758,175.81
2021,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2021,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",1745,174.48
2021,   Australian Capital Territory,Total employees,Administrative and support services,1359,135.86
2021,   Australian Capital Territory,Total employees,Public administration and safety,2003,200.32
2021,   Australian Capital Territory,Total employees,Education and training,1888,188.75
2021,   Australian Capital Territory,Total employees,Health care and social assistance,1575,157.47
2021,   Australian Capital Territory,Total employees,Arts and recreation services,1236,123.6
2021,   Australian Capital Territory,Total employees,Other services,1248,124.76
2022,   New South Wales,Total employees,"Agriculture, forestry and fishing",1166,116.55
2022,   New South Wales,Total employees,Mining,2105,210.52
2022,   New South Wales,Total employees,Manufacturing,1438,143.8
2022,   New South Wales,Total employees,"Electricity, gas, water and waste services",1842,184.23
2022,   New South Wales,Total employees,Construction,1400,140.01
2022,   New South Wales,Total employees,Wholesale trade,1438,143.8
2022,   New South Wales,Total employees,Retail trade,1155,115.47
2022,   New South Wales,Total employees,Accommodation and food services,1100,110
2022,   New South Wales,Total employees,"Transport, postal and warehousing",1438,143.84
2022,   New South Wales,Total employees,Information Media and telecommunications,1849,184.87
2022,   New South Wales,Total employees,Financial and insurance services,2110,211.04
2022,   New South Wales,Total employees,"Rental, hiring and real estate services",1184,118.41
2022,   New South Wales,Total employees,"Professional, scientific and technical services",1900,190
2022,   New South Wales,Total employees,Administrative and support services,1377,137.7
2022,   New South Wales,Total employees,Public administration and safety,1609,160.89
2022,   New South Wales,Total employees,Education and training,1731,173.08
2022,   New South Wales,Total employees,Health care and social assistance,1400,140
2022,   New South Wales,Total employees,Arts and recreation services,1317,131.72
2022,   New South Wales,Total employees,Other services,1379,137.86
2022,   Victoria,Total employees,"Agriculture, forestry and fishing",1300,130
2022,   Victoria,Total employees,Mining,1834,183.4
2022,   Victoria,Total employees,Manufacturing,1400,140
2022,   Victoria,Total employees,"Electricity, gas, water and waste services",2000,200
2022,   Victoria,Total employees,Construction,1451,145.06
2022,   Victoria,Total employees,Wholesale trade,1477,147.69
2022,   Victoria,Total employees,Retail trade,1247,124.74
2022,   Victoria,Total employees,Accommodation and food services,1199,119.94
2022,   Victoria,Total employees,"Transport, postal and warehousing",1526,152.62
2022,   Victoria,Total employees,Information Media and telecommunications,1611,161.12
2022,   Victoria,Total employees,Financial and insurance services,1783,178.25
2022,   Victoria,Total employees,"Rental, hiring and real estate services",1301,130.06
2022,   Victoria,Total employees,"Professional, scientific and technical services",1838,183.83
2022,   Victoria,Total employees,Administrative and support services,1300,130
2022,   Victoria,Total employees,Public administration and safety,1824,182.36
2022,   Victoria,Total employees,Education and training,1655,165.46
2022,   Victoria,Total employees,Health care and social assistance,1500,150
2022,   Victoria,Total employees,Arts and recreation services,1333,133.26
2022,   Victoria,Total employees,Other services,1428,142.77
2022,   Queensland,Total employees,"Agriculture, forestry and fishing",1100,110
2022,   Queensland,Total employees,Mining,2535,253.52
2022,   Queensland,Total employees,Manufacturing,1400,140.01
2022,   Queensland,Total employees,"Electricity, gas, water and waste services",2099,209.92
2022,   Queensland,Total employees,Construction,1521,152.13
2022,   Queensland,Total employees,Wholesale trade,1300,129.99
2022,   Queensland,Total employees,Retail trade,1181,118.13
2022,   Queensland,Total employees,Accommodation and food services,1114,111.4
2022,   Queensland,Total employees,"Transport, postal and warehousing",1500,150
2022,   Queensland,Total employees,Information Media and telecommunications,1615,161.53
2022,   Queensland,Total employees,Financial and insurance services,1594,159.38
2022,   Queensland,Total employees,"Rental, hiring and real estate services",1419,141.87
2022,   Queensland,Total employees,"Professional, scientific and technical services",1821,182.05
2022,   Queensland,Total employees,Administrative and support services,1345,134.49
2022,   Queensland,Total employees,Public administration and safety,1750,175
2022,   Queensland,Total employees,Education and training,1600,160
2022,   Queensland,Total employees,Health care and social assistance,1500,150
2022,   Queensland,Total employees,Arts and recreation services,1428,142.76
2022,   Queensland,Total employees,Other services,1250,125
2022,   South Australia,Total employees,"Agriculture, forestry and fishing",1249,124.85
2022,   South Australia,Total employees,Mining,2366,236.6
2022,   South Australia,Total employees,Manufacturing,1286,128.55
2022,   South Australia,Total employees,"Electricity, gas, water and waste services",1474,147.39
2022,   South Australia,Total employees,Construction,1296,129.63
2022,   South Australia,Total employees,Wholesale trade,1281,128.06
2022,   South Australia,Total employees,Retail trade,1217,121.72
2022,   South Australia,Total employees,Accommodation and food services,1116,111.55
2022,   South Australia,Total employees,"Transport, postal and warehousing",1300,130
2022,   South Australia,Total employees,Information Media and telecommunications,1624,162.38
2022,   South Australia,Total employees,Financial and insurance services,1582,158.15
2022,   South Australia,Total employees,"Rental, hiring and real estate services",1448,144.83
2022,   South Australia,Total employees,"Professional, scientific and technical services",1741,174.05
2022,   South Australia,Total employees,Administrative and support services,1196,119.59
2022,   South Australia,Total employees,Public administration and safety,1556,155.56
2022,   South Australia,Total employees,Education and training,1588,158.8
2022,   South Australia,Total employees,Health care and social assistance,1350,135
2022,   South Australia,Total employees,Arts and recreation services,1249,124.85
2022,   South Australia,Total employees,Other services,1369,136.85
2022,   Western Australia,Total employees,"Agriculture, forestry and fishing",1594,159.36
2022,   Western Australia,Total employees,Mining,2530,253.03
2022,   Western Australia,Total employees,Manufacturing,1600,160
2022,   Western Australia,Total employees,"Electricity, gas, water and waste services",2011,201.12
2022,   Western Australia,Total employees,Construction,1494,149.41
2022,   Western Australia,Total employees,Wholesale trade,1499,149.9
2022,   Western Australia,Total employees,Retail trade,1152,115.15
2022,   Western Australia,Total employees,Accommodation and food services,1154,115.36
2022,   Western Australia,Total employees,"Transport, postal and warehousing",1714,171.41
2022,   Western Australia,Total employees,Information Media and telecommunications,1567,156.72
2022,   Western Australia,Total employees,Financial and insurance services,2021,202.1
2022,   Western Australia,Total employees,"Rental, hiring and real estate services",1375,137.52
2022,   Western Australia,Total employees,"Professional, scientific and technical services",1915,191.5
2022,   Western Australia,Total employees,Administrative and support services,1355,135.54
2022,   Western Australia,Total employees,Public administration and safety,1650,165
2022,   Western Australia,Total employees,Education and training,1599,159.92
2022,   Western Australia,Total employees,Health care and social assistance,1529,152.92
2022,   Western Australia,Total employees,Arts and recreation services,1328,132.81
2022,   Western Australia,Total employees,Other services,1421,142.14
2022,   Tasmania,Total employees,"Agriculture, forestry and fishing",1244,124.37
2022,   Tasmania,Total employees,Mining,1777,177.68
2022,   Tasmania,Total employees,Manufacturing,1231,123.13
2022,   Tasmania,Total employees,"Electricity, gas, water and waste services",2094,209.42
2022,   Tasmania,Total employees,Construction,1200,120
2022,   Tasmania,Total employees,Wholesale trade,1200,119.97
2022,   Tasmania,Total employees,Retail trade,1200,120
2022,   Tasmania,Total employees,Accommodation and food services,1100,109.95
2022,   Tasmania,Total employees,"Transport, postal and warehousing",1396,139.57
2022,   Tasmania,Total employees,Information Media and telecommunications,1721,172.05
2022,   Tasmania,Total employees,Financial and insurance services,1203,120.27
2022,   Tasmania,Total employees,"Rental, hiring and real estate services",1163,116.33
2022,   Tasmania,Total employees,"Professional, scientific and technical services",1536,153.58
2022,   Tasmania,Total employees,Administrative and support services,1689,168.91
2022,   Tasmania,Total employees,Public administration and safety,1638,163.84
2022,   Tasmania,Total employees,Education and training,1612,161.21
2022,   Tasmania,Total employees,Health care and social assistance,1412,141.18
2022,   Tasmania,Total employees,Arts and recreation services,1021,102.12
2022,   Tasmania,Total employees,Other services,1110,110.95
2022,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2022,   Northern Territory,Total employees,Mining,2614,261.42
2022,   Northern Territory,Total employees,Manufacturing,1568,156.8
2022,   Northern Territory,Total employees,"Electricity, gas, water and waste services",2000,200
2022,   Northern Territory,Total employees,Construction,1746,174.63
2022,   Northern Territory,Total employees,Wholesale trade,1428,142.82
2022,   Northern Territory,Total employees,Retail trade,1072,107.21
2022,   Northern Territory,Total employees,Accommodation and food services,1153,115.3
2022,   Northern Territory,Total employees,"Transport, postal and warehousing",1520,152
2022,   Northern Territory,Total employees,Information Media and telecommunications,0,0
2022,   Northern Territory,Total employees,Financial and insurance services,0,0
2022,   Northern Territory,Total employees,"Rental, hiring and real estate services",1719,171.9
2022,   Northern Territory,Total employees,"Professional, scientific and technical services",1569,156.94
2022,   Northern Territory,Total employees,Administrative and support services,1145,114.5
2022,   Northern Territory,Total employees,Public administration and safety,1942,194.2
2022,   Northern Territory,Total employees,Education and training,1717,171.71
2022,   Northern Territory,Total employees,Health care and social assistance,1500,150
2022,   Northern Territory,Total employees,Arts and recreation services,1233,123.26
2022,   Northern Territory,Total employees,Other services,1500,150
2022,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2022,   Australian Capital Territory,Total employees,Mining,0,0
2022,   Australian Capital Territory,Total employees,Manufacturing,1178,117.76
2022,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",0,0
2022,   Australian Capital Territory,Total employees,Construction,1552,155.16
2022,   Australian Capital Territory,Total employees,Wholesale trade,0,0
2022,   Australian Capital Territory,Total employees,Retail trade,1049,104.9
2022,   Australian Capital Territory,Total employees,Accommodation and food services,1173,117.32
2022,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1849,184.85
2022,   Australian Capital Territory,Total employees,Information Media and telecommunications,2195,219.5
2022,   Australian Capital Territory,Total employees,Financial and insurance services,1368,136.78
2022,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",1573,157.28
2022,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",2215,221.46
2022,   Australian Capital Territory,Total employees,Administrative and support services,1364,136.4
