Suburb Name or Postcode,Employment Regions (% of population in each Area)
MOUNT BENSON,Murray and South East (100%)
MOUNT BEPPO,Wivenhoe (100%)
MOUNT BERRYMAN,Wivenhoe (100%)
MOUNT BEST,Gippsland (100%)
MOUNT BINDANGO,Darling Downs (100%)
MOUNT BINGA,Darling Downs (100%)
MOUNT BOLTON,Ballarat (100%)
MOUNT BRUNO,Goulburn/Murray (100%)
MOUNT BRYAN,Mid North SA (100%)
MOUNT BRYAN EAST,Mid North SA (100%)
MOUNT BULLER,Goulburn/Murray (100%)
MOUNT BURNETT,South Eastern Melbourne and Peninsula (100%)
MOUNT BURR,Murray and South East (100%)
MOUNT BURRELL,North Coast (100%)
MOUNT BUTE,South Coast of Victoria (100%)
MOUNT BYRON,Wivenhoe (100%)
MOUNT CAMEL,Bendigo (100%)
MOUNT CAMERON,Ballarat (100%)
MOUNT CAROLINE,Great Southern - Wheatbelt (100%)
MOUNT CHALMERS,Fitzroy (100%)
MOUNT CHARLES,Murray and South East (100%)
MOUNT CHARLTON,Mackay (100%)
MOUNT CLAREMONT,Perth North (100%)
MOUNT CLARENCE,Great Southern - Wheatbelt (100%)
MOUNT CLEAR (VIC),Ballarat (100%)
MOUNT COLAH,Sydney North and West (100%)
MOUNT COLE,Wimmera Mallee (100%)
MOUNT COLE CREEK,Wimmera Mallee (100%)
MOUNT COLLIERY,Darling Downs (100%)
MOUNT COLLINS,Capital Region (100%)
MOUNT COMPASS,Adelaide South (100%)
MOUNT COOLON,Mackay (100%)
MOUNT COOLUM,Wide Bay and Sunshine Coast (100%)
MOUNT COTTON,Brisbane South East (100%)
MOUNT COTTRELL,Western Melbourne (100%)
MOUNT CRAWFORD,Mid North SA (100%) 
MOUNT CROSBY,Wivenhoe (100%)
MOUNT DANDENONG,North Eastern Melbourne (100%)
MOUNT DARRAGH,Illawarra South Coast (100%)
MOUNT DARRY,Darling Downs (100%)
MOUNT DAVID,Central West (100%)
MOUNT DEBATEABLE,Wide Bay and Sunshine Coast (100%)
MOUNT DEE,Hunter (100%)
MOUNT DELANEY,Somerset (100%)
MOUNT DIRECTION,North and North Western Tasmania (100%)
MOUNT DORAN,Ballarat (100%)
MOUNT DRUITT,Sydney Greater West (100%)
MOUNT DRYDEN,Wimmera Mallee (100%)
MOUNT DUNEED,Barwon (100%)
MOUNT ECCLES,Gippsland (100%)
MOUNT EDWARDS,Wivenhoe (100%)
MOUNT EGERTON,Ballarat (100%)
MOUNT ELIZA,South Eastern Melbourne and Peninsula (100%)
MOUNT ELLIOT (NSW),Sydney North and West (100%)
MOUNT ELPHINSTONE,Great Southern - Wheatbelt (100%)
MOUNT EMLYN,Darling Downs (100%)
MOUNT EMU,Ballarat (100%)
MOUNT EVELYN,North Eastern Melbourne (100%)
MOUNT FAIRY,Capital Region (100%)
MOUNT FORBES,Wivenhoe (100%)
MOUNT FOSTER,Far West Orana (100%)
MOUNT FOX,Townsville (100%)
MOUNT FRANKLIN,Ballarat (100%)
MOUNT FRENCH,Wivenhoe (100%)
MOUNT FROME,Central West (100%)
MOUNT GAMBIER,Murray and South East (100%)
MOUNT GARDINER,Fitzroy (100%)
MOUNT GARNET,Cairns (100%)
MOUNT GEORGE (NSW),Mid North Coast (100%)
MOUNT GEORGE (SA),Adelaide South (100%)
MOUNT GIPPS,Brisbane South East (100%)
MOUNT GLASGOW,Ballarat (100%)
MOUNT GLORIOUS,Somerset (100%)
MOUNT GRAVATT,Brisbane South East (100%)
MOUNT GRAVATT EAST,Brisbane South East (100%)
MOUNT HALLEN,Wivenhoe (100%)
MOUNT HAMPTON,Great Southern - Wheatbelt (100%)
MOUNT HARDEY,Great Southern - Wheatbelt (100%)
MOUNT HARRIS,Far West Orana (100%)
MOUNT HAWTHORN,Perth North (100%)
MOUNT HELEN,Ballarat (100%)
MOUNT HELENA,Perth North (100%)
MOUNT HICKS,North and North Western Tasmania (100%)
MOUNT HOLLAND,Great Southern - Wheatbelt (100%)
MOUNT HOOGHLY,Ballarat (100%)
MOUNT HOREB,Murray Riverina (100%)
MOUNT HUNTER,Sydney South West (100%)
MOUNT HUTTON (NSW),Hunter (100%)
MOUNT HUTTON (QLD),Darling Downs (100%)
MOUNT IRVINE,Sydney North and West (100%)
MOUNT IRVING,Darling Downs (100%)
MOUNT ISA,CDP(64.6%);Townsville(35.4%)
MOUNT ISA CITY,Townsville (100%)
MOUNT JACKSON,Great Southern - Wheatbelt (100%)
MOUNT JAGGED,Adelaide South (100%)
MOUNT JOHNS,Darwin (100%) 
MOUNT JUKES,Mackay (100%)
MOUNT JULIAN,Mackay (100%)
MOUNT KEIRA,Illawarra South Coast (100%)
MOUNT KELLY,Townsville (100%)
MOUNT KEMBLA,Illawarra South Coast (100%)
MOUNT KILCOY,Somerset (100%)
MOUNT KINGIMAN,Illawarra South Coast (100%)
MOUNT KNOWLES,Central West (100%)
MOUNT KURING-GAI,Sydney North and West (100%)
MOUNT KYNOCH,Darling Downs (100%)
MOUNT LAMBIE,Central West (100%)
MOUNT LARCOM,Fitzroy (100%)
MOUNT LAWLESS,Wide Bay and Sunshine Coast (100%)
MOUNT LAWLEY,Perth North (100%)
MOUNT LEWIS,Sydney South West (100%)
MOUNT LIGHT,Murray and South East (100%)
MOUNT LLOYD,Hobart and Southern Tasmania (100%)
MOUNT LOFTY,Darling Downs (100%)
MOUNT LONARCH,Ballarat (100%)
MOUNT LOUISA,Townsville (100%)
MOUNT LOW,Townsville (100%)
MOUNT LUKE,Darling Downs (100%)
MOUNT MACARTHUR,Fitzroy (100%)
MOUNT MACEDON,North Western Melbourne (100%)
MOUNT MADDEN,Great Southern - Wheatbelt (100%)
MOUNT MAGNIFICENT,Adelaide South (100%)
MOUNT MAJOR,Goulburn/Murray (100%)
MOUNT MARIA,Fitzroy (100%)
MOUNT MARLOW,Mackay (100%)
MOUNT MARROW,Wivenhoe (100%)
MOUNT MARSDEN,Central West (100%)
MOUNT MARSH,North Coast (100%)
MOUNT MARSHALL,Darling Downs (100%)
MOUNT MARTHA,South Eastern Melbourne and Peninsula (100%)
MOUNT MARTIN,Mackay (100%)
MOUNT MARY,Murray and South East (100%)
MOUNT MCEUEN,Wide Bay and Sunshine Coast (100%)
MOUNT MCINTYRE,Murray and South East (100%)
MOUNT MCKENZIE,Mid North SA (100%)
MOUNT MEE,Somerset (100%)
MOUNT MELLUM,Wide Bay and Sunshine Coast (100%)
MOUNT MELVILLE,Great Southern - Wheatbelt (100%)
MOUNT MERCER,Barwon (100%)
MOUNT MITCHELL,New England and North West (100%)
MOUNT MOLAR,Darling Downs (100%)
MOUNT MORGAN,Fitzroy (100%)
MOUNT MORIAC,Barwon (100%)
MOUNT MORIAH,Darling Downs (100%)
MOUNT MORT,Wivenhoe (100%)
MOUNT MURCHISON,Fitzroy (100%)
MOUNT MURRAY,Illawarra South Coast (100%)
MOUNT NAPIER,South Coast of Victoria (100%)
MOUNT NASURA,Perth South (100%)
MOUNT NATHAN,Gold Coast (100%)
MOUNT NEBO,Somerset (100%)
MOUNT NELSON,Hobart and Southern Tasmania (100%)
MOUNT OLIVE (NSW 2330),Hunter (100%)
MOUNT OLIVE (NSW 2787),Central West (100%)
MOUNT OMMANEY,Wivenhoe (100%)
MOUNT OSMOND,Adelaide South (100%)
MOUNT OSSA,Mackay (100%)
MOUNT OUSLEY,Illawarra South Coast (100%)
MOUNT PANORAMA,Central West (100%)
MOUNT PELION,Mackay (100%)
MOUNT PERRY,Wide Bay and Sunshine Coast (100%)
MOUNT PETER,Cairns (100%)
MOUNT PLEASANT (NSW),Illawarra South Coast (100%)
MOUNT PLEASANT (QLD 4521),Somerset (100%)
MOUNT PLEASANT (QLD 4740),Mackay (100%)
MOUNT PLEASANT (SA),Mid North SA(92.2%);Murray and South East(7.8%)
MOUNT PLEASANT (VIC),Ballarat (100%)
MOUNT PLEASANT (WA),Perth South (100%)
MOUNT PLUTO,Mackay (100%)
MOUNT PRITCHARD,Sydney South West (100%)
MOUNT PROSPECT,Ballarat (100%)
MOUNT RANKIN,Central West (100%)
MOUNT RASCAL,Darling Downs (100%)
MOUNT RICHMOND,South Coast of Victoria (100%)
MOUNT RICHON,Perth South (100%)
MOUNT RIVERS,Hunter (100%)
MOUNT RIVERVIEW,Sydney Greater West (100%)
MOUNT ROWAN,Ballarat (100%)
MOUNT ROYAL,Hunter (100%)
MOUNT RUMNEY,Hobart and Southern Tasmania (100%)
MOUNT RUSSELL,New England and North West (100%)
MOUNT SAINT THOMAS,Illawarra South Coast (100%)
MOUNT SAMSON,Somerset (100%)
MOUNT SCHANK,Murray and South East (100%)
MOUNT SEAVIEW,Mid North Coast (100%)
MOUNT SEYMOUR,Hobart and Southern Tasmania (100%)
MOUNT SHERIDAN (QLD),Cairns (100%)
MOUNT SHERIDAN (WA),Great Southern - Wheatbelt (100%)
MOUNT ST JOHN,Townsville (100%)
MOUNT STANLEY,Somerset (100%)
MOUNT STEADMAN,Wide Bay and Sunshine Coast (100%)
MOUNT STIRLING,Great Southern - Wheatbelt (100%)
MOUNT STUART (QLD),Townsville (100%)
MOUNT STUART (TAS),Hobart and Southern Tasmania (100%)
MOUNT SURROUND,Townsville (100%)
MOUNT SYLVIA,Darling Downs (100%)
MOUNT TABOR,Darling Downs (100%)
MOUNT TARAMPA,Wivenhoe (100%)
MOUNT TARCOOLA,Geraldton (100%)
MOUNT TAYLOR,Gippsland (100%)
MOUNT TEMPLETON,Mid North SA (100%)
MOUNT TENANDRA,Far West Orana (100%)
MOUNT THORLEY,Hunter (100%)
MOUNT TOM,Fitzroy (100%)
MOUNT TOMAH,Sydney North and West (100%)
MOUNT TOOLEBEWONG,North Eastern Melbourne (100%)
MOUNT TORRENS,Adelaide South(90.4%);Murray and South East(9.6%)
MOUNT TULLY,Darling Downs (100%)
MOUNT TYSON,Darling Downs (100%)
MOUNT URAH,Wide Bay and Sunshine Coast (100%)
MOUNT VERNON,Sydney South West (100%)
MOUNT VICTORIA,Sydney Greater West (100%)
MOUNT VIEW,Hunter (100%)
MOUNT VINCENT,Hunter (100%)
MOUNT WALKER (QLD),Wivenhoe (100%)
MOUNT WALKER (WA),Great Southern - Wheatbelt (100%)
MOUNT WALKER WEST,Wivenhoe (100%)
MOUNT WALLACE,Ballarat (100%)
MOUNT WARNING,North Coast (100%)
MOUNT WARREN PARK,Brisbane South East (100%)
MOUNT WARRIGAL,Illawarra South Coast (100%)
MOUNT WAVERLEY,South Eastern Melbourne and Peninsula (100%)
MOUNT WERONG,Central West (100%) 
MOUNT WHITE,Sydney North and West (100%)
MOUNT WHITESTONE,Darling Downs (100%)
MOUNT WILSON,Sydney North and West (100%)
MOUNT WYATT,Mackay (100%)
MOUNTAIN BAY,Goulburn/Murray (100%)
MOUNTAIN CAMP,Darling Downs (100%)
MOUNTAIN CREEK (NSW 2644),Murray Riverina (100%)
MOUNTAIN CREEK (QLD),Wide Bay and Sunshine Coast (100%)
MOUNTAIN LAGOON,Sydney North and West (100%)
MOUNTAIN RIVER,Hobart and Southern Tasmania (100%)
MOUNTAIN TOP,North Coast (100%)
MOUNTAIN VIEW (NSW),North Coast (100%)
MOUNTAIN VIEW (VIC),Gippsland (100%)
MOURA,Fitzroy (100%)
MOURILYAN,Cairns (100%)
MOURILYAN HARBOUR,Cairns (100%)
MOURQUONG,Wimmera Mallee (100%)
MOUTAJUP,South Coast of Victoria (100%)
MOWBRAY (QLD),Cairns (100%)
MOWBRAY (TAS),North and North Western Tasmania (100%)
MOWBRAY PARK,Sydney South West (100%)
MOWBULLAN,Darling Downs (100%)
MOY POCKET,Wide Bay and Sunshine Coast (100%)
MOYARRA,Gippsland (100%)
MOYHALL,Murray and South East (100%)
MOYHU,Goulburn/Murray (100%)
MOYREISK,Wimmera Mallee (100%)
MOYSTON,Wimmera Mallee (100%)
MOZART,Central West (100%)
MP CREEK,Wide Bay and Sunshine Coast (100%)
MUCHEA,Great Southern - Wheatbelt (100%)
MUCKADILLA,Darling Downs (100%)
MUCKATAH,Goulburn/Murray (100%)
MUCKENBURRA,Great Southern - Wheatbelt (100%)
MUCKLEFORD,Bendigo (100%)
MUCKLEFORD SOUTH,Bendigo (100%)
MUDGEE,Central West (100%)
MUDGEERABA,Gold Coast (100%)
MUDGEGONGA,Goulburn/Murray (100%)
MUDJIMBA,Wide Bay and Sunshine Coast (100%)
MUDLO,Wide Bay and Sunshine Coast (100%)
MUIRLEA,Wivenhoe (100%)
MUJA,South West WA (100%)
MUKINBUDIN,Great Southern - Wheatbelt (100%)
MULAMBIN,Fitzroy (100%)
MULARA,Fitzroy (100%)
MULBRING,Hunter (100%)
MULDU,Darling Downs (100%)
MULGILDIE,Wide Bay and Sunshine Coast (100%)
MULGOA,Sydney Greater West (100%)
MULGOWIE,Wivenhoe (100%)
MULGRAVE (NSW),Sydney North and West (100%)
MULGRAVE (QLD),Townsville (100%)
MULGRAVE (VIC),South Eastern Melbourne and Peninsula (100%)
MULGUNDAWA,Murray and South East (100%)
MULGUTHRIE,Central West (100%)
MULI MULI,North Coast (100%)
MULLA,Far West Orana (100%)
MULLA CREEK,New England and North West (100%)
MULLALEY,New England and North West (100%)
MULLALOO,Perth North (100%)
MULLALYUP,South West WA (100%)
MULLAMUDDY,Central West (100%)
MULLAQUANA,North West Country SA (100%)
MULLAWAY,Mid North Coast (100%)
MULLENGANDRA,Murray Riverina (100%)
MULLENGUDGERY,Far West Orana (100%)
MULLETT CREEK,Wide Bay and Sunshine Coast (100%)
MULLINGAR,Kalgoorlie (100%) 
MULLION,Capital Region (100%)
MULLION CREEK,Central West (100%)
MULLOON,Capital Region (100%)
MULLUMBIMBY,North Coast (100%)
MULLUMBIMBY CREEK,North Coast (100%)
MULUCKINE,Great Southern - Wheatbelt (100%)
MULWALA,Murray Riverina (100%)
MULYANDRY,Central West (100%)
MUMBALLUP,South West WA (100%)
MUMBANNAR,South Coast of Victoria (100%)
MUMBERKINE,Great Southern - Wheatbelt (100%)
MUMBIL,Far West Orana (100%)
MUMBLEBONE PLAIN,Far West Orana (100%)
MUMBULLA MOUNTAIN,Illawarra South Coast (100%)
MUMMEL,Capital Region (100%)
MUMMULGUM,North Coast (100%)
MUNBILLA,Wivenhoe (100%)
MUNBURA,Mackay (100%)
MUNDAMIA,Illawarra South Coast (100%)
MUNDARING,Perth North (100%)
MUNDARLO,Murray Riverina (100%)
MUNDEROO,Murray Riverina (100%)
MUNDIC CREEK,Murray and South East (100%)
MUNDIJONG,Perth South (100%)
MUNDINGBURRA,Townsville (100%)
MUNDONGO,Murray Riverina (100%)
MUNDOO,Cairns (100%)
MUNDOO ISLAND,Adelaide South (100%)
MUNDOOLUN,Brisbane South East (100%)
MUNDOONA,Goulburn/Murray (100%)
MUNDOORA,Mid North SA (100%)
MUNDOWRAN,Wide Bay and Sunshine Coast (100%)
MUNDUBBERA,Wide Bay and Sunshine Coast (100%)
MUNDULLA,Murray and South East (100%)
MUNDULLA WEST,Murray and South East (100%)
MUNGABUNDA,Fitzroy (100%)
MUNGALLI,Cairns (100%)
MUNGALUP,South West WA (100%)
MUNGAR,Wide Bay and Sunshine Coast (100%)
MUNGAY CREEK,Mid North Coast (100%)
MUNGINDI (NSW),New England and North West (100%)
MUNGINDI (QLD),Darling Downs (100%)
MUNGO,Murray Riverina (100%)
MUNGUNGO,Wide Bay and Sunshine Coast (100%)
MUNGY,Wide Bay and Sunshine Coast (100%)
MUNIGANEEN,Darling Downs (100%)
MUNNA CREEK,Wide Bay and Sunshine Coast (100%)
MUNNI,Hunter (100%)
MUNNO PARA,Adelaide North (100%)
MUNNO PARA DOWNS,Adelaide North (100%)
MUNNO PARA WEST,Adelaide North (100%)
MUNRO,Gippsland (100%)
MUNRO PLAINS,Cairns (100%)
MUNRUBEN,Brisbane South East (100%)
MUNSTER,Perth South (100%)
MUNTADGIN,Great Southern - Wheatbelt (100%)
MUNTHAM,South Coast of Victoria (100%)
MUNYABLA,Murray Riverina (100%)
MURADUP,Great Southern - Wheatbelt (100%)
MURARRIE,Brisbane South East (100%)
MURBKO,Murray and South East (100%)
MURCHISON (VIC),Goulburn/Murray (100%)
MURCHISON EAST,Goulburn/Murray (100%)
MURCHISON NORTH,Goulburn/Murray (100%)
MURDOCH,Perth South (100%)
MURDONG,Great Southern - Wheatbelt (100%)
MURDUNNA,Hobart and Southern Tasmania (100%)
MURESK,Great Southern - Wheatbelt (100%)
MURGA,Central West (100%)
MURGHEBOLUC,Barwon (100%)
MURGON,Wide Bay and Sunshine Coast (100%)
MURMUNGEE,Goulburn/Murray (100%)
MURNUNGIN,Wimmera Mallee (100%)
MURPHYS CREEK (QLD),Darling Downs (100%)
MURPHYS CREEK (VIC),Bendigo (100%)
MURRA WARRA,Wimmera Mallee (100%)
MURRABIT,Wimmera Mallee (100%)
MURRABIT WEST,Wimmera Mallee (100%)
MURRAH,Illawarra South Coast (100%)
MURRAMI,Murray Riverina (100%)
MURRAWEE,Wimmera Mallee (100%)
MURRAWOMBIE,Far West Orana (100%)
MURRAWONG,Murray and South East (100%)
MURRAY,Townsville (100%)
MURRAY BRIDGE,Murray and South East (100%)
MURRAY BRIDGE EAST,Murray and South East (100%)
MURRAY BRIDGE NORTH,Murray and South East (100%)
MURRAY BRIDGE SOUTH,Murray and South East (100%)
MURRAY DOWNS,Murray Riverina (100%)
MURRAY UPPER,Cairns (100%)
MURRAYDALE,Wimmera Mallee (100%)
MURRAYS BEACH,Hunter (100%)
MURRAYS BRIDGE,Darling Downs (100%)
MURRAYS RUN,Hunter (100%)
MURRAYVILLE,Wimmera Mallee (100%)
MURRIGAL,Cairns (100%)
MURRINDAL,Gippsland (100%)
MURRINDINDI,Goulburn/Murray (100%)
MURRINGO,Capital Region (100%)
MURROON,South Coast of Victoria (100%)
MURRULEBALE,Murray Riverina (100%)
MURRUMBA,Wivenhoe (100%)
MURRUMBA DOWNS,Somerset (100%)
MURRUMBATEMAN,Capital Region (100%)
MURRUMBEENA,Inner Metropolitan Melbourne (100%)
MURRUMBO,Central West (100%)
MURRUMBUCCA,Capital Region (100%)
MURRUMBURRAH,Capital Region (100%)
MURRURUNDI,Hunter (100%)
MURTHO,Murray and South East (100%)
MURTOA,Wimmera Mallee (100%)
MURULLA,Hunter (100%)
MURWILLUMBAH,North Coast (100%)
MUSCLE CREEK,Hunter (100%)
MUSK,Ballarat (100%)
MUSK VALE,Ballarat (100%)
MUSKERRY,Goulburn/Murray (100%)
MUSSELROE BAY,North and North Western Tasmania (100%)
MUSTON,Adelaide South (100%)
MUSWELLBROOK,Hunter (100%)
MUTARNEE,Townsville (100%)
MUTDAPILLY,Wivenhoe (100%)
MUTTAMA,Murray Riverina (100%)
MYALL (VIC 3533),Wimmera Mallee (100%)
MYALL (VIC 3579),Wimmera Mallee (100%)
MYALL CREEK,New England and North West (100%)
MYALL PARK (NSW),Murray Riverina (100%)
MYALL PARK (QLD),Darling Downs (100%)
MYALLA (NSW),Capital Region (100%)
MYALLA (TAS),North and North Western Tasmania (100%)
MYALUP,South West WA (100%)
MYAMYN,South Coast of Victoria (100%)
MYAREE,Perth South (100%)
MYERS FLAT,Bendigo (100%)
MYLESTOM,Mid North Coast (100%)
MYLNEFORD,North Coast (100%)
MYLOR,Adelaide South (100%)
MYOCUM,North Coast (100%)
MYOLA (NSW),Illawarra South Coast (100%)
MYOLA (VIC),Goulburn/Murray (100%)
MYPOLONGA,Murray and South East (100%)
MYPONGA,Adelaide South (100%)
MYPONGA BEACH,Adelaide South (100%)
MYRNIONG,Ballarat (100%)
MYRRHEE,Goulburn/Murray (100%)
MYRTLE BANK (SA),Adelaide South (100%)
MYRTLE BANK (TAS),North and North Western Tasmania (100%)
MYRTLE CREEK (NSW),North Coast (100%)
MYRTLE CREEK (VIC),Bendigo (100%)
MYRTLE MOUNTAIN,Illawarra South Coast (100%)
MYRTLE PARK,Murray Riverina (100%)
MYRTLEBANK,Gippsland (100%)
MYRTLEFORD,Goulburn/Murray (100%)
MYRTLEVALE,Mackay (100%)
MYRTLEVILLE,Capital Region (100%)
MYSIA,Bendigo (100%)
MYSTERTON,Townsville (100%)
MYSTERY BAY,Illawarra South Coast (100%)
MYSTIC PARK,Wimmera Mallee (100%)
MYUNA BAY,Hunter (100%)
MYWEE,Goulburn/Murray (100%)
NABAGEENA,North and North Western Tasmania (100%)
NABIAC,Mid North Coast (100%)
NABOWLA,North and North Western Tasmania (100%)
NACKARA,Mid North SA (100%)
NAGAMBIE,Goulburn/Murray (100%)
NAHRUNDA,Wide Bay and Sunshine Coast (100%)
NAILSWORTH,Adelaide South (100%)
NAIN,Mid North SA (100%)
NAIRIBIN,Great Southern - Wheatbelt (100%)
NAIRNE,Adelaide South (100%)
NAKARA,Darwin (100%)
NALANGIL,South Coast of Victoria (100%)
NALINGA,Goulburn/Murray (100%)
NALKAIN,Great Southern - Wheatbelt (100%)
NALYAPPA,Mid North SA (100%)
NALYERLUP,Great Southern - Wheatbelt (100%)
NAMBAN,Great Southern - Wheatbelt (100%)
NAMBEELUP,Perth South (100%)
NAMBOUR,Wide Bay and Sunshine Coast (100%)
NAMBROK,Gippsland (100%)
NAMBUCCA HEADS,Mid North Coast (100%)
NAMBUNG,Great Southern - Wheatbelt (100%)
NAMOI RIVER,New England and North West (100%)
NANA GLEN,Mid North Coast (100%)
NANANGO,Wide Bay and Sunshine Coast (100%)
NANARUP,Great Southern - Wheatbelt (100%)
NANDALY,Wimmera Mallee (100%)
NANDI,Darling Downs (100%)
NANDOWRIE,Fitzroy (100%)
NANGANA,South Eastern Melbourne and Peninsula (100%)
NANGEELA,South Coast of Victoria (100%)
NANGEENAN,Great Southern - Wheatbelt (100%)
NANGILOC,Wimmera Mallee (100%)
NANGKITA,Adelaide South (100%)
NANGRAM,Darling Downs (100%)
NANGUS,Murray Riverina (100%)
NANGWARRY,Murray and South East (100%)
NANGWEE,Darling Downs (100%)
NANIMA,Capital Region (100%)
NANKIN,Fitzroy (100%)
NANNEELLA,Goulburn/Murray (100%)
NANNUP,South West WA (100%)
NANTAWARRA,Mid North SA (100%)
NAPIER,Great Southern - Wheatbelt (100%)
NAPIER LANE,Far West Orana (100%)
NAPOLEON REEF,Central West (100%)
NAPOLEONS,Ballarat (100%)
NAPPERBY,Mid North SA (100%)
NAR NAR GOON,South Eastern Melbourne and Peninsula (100%)
NAR NAR GOON NORTH,South Eastern Melbourne and Peninsula (100%)
NARACOOPA,North and North Western Tasmania (100%)
NARACOORTE,Murray and South East (100%)
NARADHAN,Central West (100%)
NARANGBA,Somerset (100%)
NARARA,Sydney North and West (100%)
NARBETHONG (VIC),Goulburn/Murray (100%)
NAREEB,South Coast of Victoria (100%)
NAREEN,South Coast of Victoria (100%)
NAREEWILLOCK,Wimmera Mallee (100%)
NARELLAN,Sydney South West (100%)
NARELLAN VALE,Sydney South West (100%)
NAREMBEEN,Great Southern - Wheatbelt (100%)
NAREMBURN,Sydney North and West (100%)
NARIEL VALLEY,Goulburn/Murray (100%) 
NARING,Goulburn/Murray (100%)
NARINGAL,South Coast of Victoria (100%)
NARINGAL EAST,South Coast of Victoria (100%)
NARKO,Darling Downs (100%)
NARNGULU,CDP(88.9%);Geraldton(11.1%)
NAROGHID,South Coast of Victoria (100%)
NAROOMA,Illawarra South Coast (100%)
NARRABARBA,Illawarra South Coast (100%)
NARRABEEN,Sydney North and West (100%)
NARRABRI,New England and North West (100%)
NARRABUNDAH,Capital Region (100%)
NARRABURRA,Murray Riverina (100%)
NARRACAN,Gippsland (100%)
NARRALOGGAN,Great Southern - Wheatbelt (100%)
NARRANDERA,Murray Riverina (100%)
NARRANGULLEN,Capital Region (100%)
NARRAPORT,Wimmera Mallee (100%)
NARRAPUMELAP SOUTH,Wimmera Mallee (100%)
NARRAWA,Capital Region (100%)
NARRAWALLEE,Illawarra South Coast (100%)
NARRAWEENA,Sydney North and West (100%)
NARRAWONG,South Coast of Victoria (100%)
NARRE WARREN,South Eastern Melbourne and Peninsula (100%)
NARRE WARREN EAST,North Eastern Melbourne (100%)
NARRE WARREN NORTH,South Eastern Melbourne and Peninsula (100%)
NARRE WARREN SOUTH,South Eastern Melbourne and Peninsula (100%)
NARRIDY,Mid North SA (100%)
NARRIKUP,Great Southern - Wheatbelt (100%)
NARROGIN,Great Southern - Wheatbelt (100%)
NARROGIN VALLEY,Great Southern - Wheatbelt (100%)
NARROMINE,Far West Orana (100%)
NARRUNG (SA),Murray and South East (100%)
NARRUNG (VIC),Wimmera Mallee (100%)
NARWEE,Sydney East Metro (100%)
NASHDALE,Central West (100%)
NASHUA,North Coast (100%)
NATHALIA,Goulburn/Murray (100%)
NATHAN,Brisbane South East (100%)
NATIMUK,Wimmera Mallee (100%)
NATIONAL PARK,Hobart and Southern Tasmania (100%)
NATONE,North and North Western Tasmania (100%)
NATTAI,Sydney South West (100%) 
NATTE YALLOCK,Ballarat(74.2%);Wimmera Mallee(25.8%)
NATURAL BRIDGE,Gold Coast (100%)
NATURALISTE,South West WA (100%)
NATURI,Murray and South East (100%)
NATYA,Wimmera Mallee (100%)
NAUGHTONS GAP,North Coast (100%)
NAVAL BASE,Perth South (100%)
NAVARRE,Wimmera Mallee(83.6%);Ballarat(16.4%)
NAVIGATORS,Ballarat (100%)
NAYOOK,Gippsland (100%)
NEALES FLAT,Mid North SA (100%)
NEARUM,Wide Bay and Sunshine Coast (100%)
NEATH,Hunter (100%)
NEBEA,Far West Orana (100%)
NEBO,Mackay (100%)
NEDLANDS,Perth North (100%)
NEDS CORNER,Wimmera Mallee (100%)
NEEDILUP,Great Southern - Wheatbelt (100%)
NEEDLES,North and North Western Tasmania (100%)
NEENDALING,Great Southern - Wheatbelt (100%)
NEERABUP,Perth North (100%)
NEERDIE,Wide Bay and Sunshine Coast (100%)
NEEREMAN,Bendigo (100%)
NEERGABBY,Great Southern - Wheatbelt (100%)
NEERIM,Gippsland (100%)
NEERIM EAST,Gippsland (100%)
NEERIM JUNCTION,Gippsland (100%)
NEERIM NORTH,Gippsland (100%)
NEERIM SOUTH,Gippsland (100%)
NEIKA,Hobart and Southern Tasmania (100%)
NEILBOROUGH,Bendigo (100%)
NEILREX,Far West Orana (100%)
NELLIGEN,Illawarra South Coast (100%)
NELLY BAY,Townsville (100%)
NELSHABY,Mid North SA (100%)
NELSON (NSW 2550),Illawarra South Coast (100%)
NELSON (NSW 2765),Sydney North and West (100%)
NELSON (VIC),South Coast of Victoria (100%)
NELSON BAY (NSW),Hunter (100%)
NELSON BAY (TAS),North and North Western Tasmania (100%)
NELSONS PLAINS,Hunter (100%)
NELUNGALOO,Central West (100%)
NEMBUDDING,Great Southern - Wheatbelt (100%)
NEMINGHA,New England and North West (100%)
NENE VALLEY,Murray and South East (100%)
NEPEAN BAY,Adelaide South (100%)
NERADA,Cairns (100%)
NERANG,Gold Coast (100%)
NERANWOOD,Gold Coast (100%)
NERICON,Murray Riverina (100%)
NERIMBERA,Fitzroy (100%)
NERINGLA,Capital Region (100%)
NERONG,Mid North Coast (100%)
NERRENA,Gippsland (100%)
NERRIGA,Capital Region (100%)
NERRIGUNDAH,Illawarra South Coast (100%)
NERRIN NERRIN,Wimmera Mallee (100%) 
NERRINA,Ballarat (100%)
NERRING,Ballarat (100%)
NETHERBY (QLD),Wide Bay and Sunshine Coast (100%)
NETHERBY (SA),Adelaide South (100%)
NETHERBY (VIC),Wimmera Mallee (100%)
NETHERCOTE,Illawarra South Coast (100%)
NETHERDALE,Mackay (100%)
NETHERTON,Murray and South East (100%)
NETLEY,Adelaide North (100%)
NEUARPURR,Wimmera Mallee (100%)
NEUREA,Far West Orana (100%)
NEURUM,Somerset (100%)
NEUSA VALE,Wide Bay and Sunshine Coast (100%)
NEUTRAL BAY,Sydney North and West (100%)
NEVERTIRE,Far West Orana (100%)
